Datetime,Date,Month_Name,Month_Num,Quarter,Day_Of_Week,Hour,Truck_ID,Truck_Number,Latitude,Longitude,Shipment_Status,On_Time_Label,Is_Delayed,Delay_Reason,Traffic_Condition,Temperature,Humidity,Waiting_Time_Min,Inventory_Level,Demand_Forecast,Inventory_Surplus,Inventory_Status,Utilization_Pct,Transaction_Amount,Purchase_Frequency
2024-01-07 09:13:28,2024-01-07,Jan 2024,2024-01,Q1,Sunday,9,Truck_6,6,-74.1751,-102.7331,Delivered,On Time,0,Weather,Detour,19.9,64.8,57,314,135,179,Surplus,78.6,396,10
2024-09-25 15:12:12,2024-09-25,Sep 2024,2024-09,Q3,Wednesday,15,Truck_10,10,-33.2264,169.6187,In Transit,On Time,0,Weather,Clear,27.2,74.4,35,156,282,-126,Deficit,63.1,354,2
2024-02-11 13:30:18,2024-02-11,Feb 2024,2024-02,Q1,Sunday,13,Truck_2,2,-34.4469,93.1585,In Transit,On Time,0,,Detour,28.1,72.4,41,119,238,-119,Deficit,60.9,176,2
2024-11-20 11:22:13,2024-11-20,Nov 2024,2024-11,Q4,Wednesday,11,Truck_3,3,-13.511,141.8454,In Transit,On Time,0,Traffic,Detour,19.7,76.6,22,112,262,-150,Deficit,80.9,121,3
2024-06-25 02:26:25,2024-06-25,Jun 2024,2024-06,Q2,Tuesday,2,Truck_3,3,-22.427,108.2306,Delivered,Delayed,1,Traffic,Heavy,25.8,78.6,22,435,101,334,Surplus,90.8,220,7
2024-06-25 00:01:12,2024-06-25,Jun 2024,2024-06,Q2,Tuesday,0,Truck_9,9,43.3353,-12.0683,Delivered,Delayed,1,Traffic,Heavy,20.0,62.9,14,422,248,174,Surplus,64.0,184,9
2024-05-02 02:33:56,2024-05-02,May 2024,2024-05,Q2,Thursday,2,Truck_4,4,-66.7517,161.45,In Transit,Delayed,1,Traffic,Heavy,20.5,52.0,26,353,155,198,Surplus,76.4,392,7
2024-08-10 00:04:40,2024-08-10,Aug 2024,2024-08,Q3,Saturday,0,Truck_8,8,-65.7349,-173.3011,Delayed,Delayed,1,,Heavy,23.9,50.1,17,299,252,47,Surplus,88.3,315,6
2024-05-13 03:20:21,2024-05-13,May 2024,2024-05,Q2,Monday,3,Truck_1,1,-55.4768,18.2551,Delayed,Delayed,1,Mechanical Failure,Clear,22.5,78.4,41,261,240,21,Surplus,71.8,209,6
2024-12-02 08:32:47,2024-12-02,Dec 2024,2024-12,Q4,Monday,8,Truck_8,8,5.9179,74.8254,Delayed,Delayed,1,Mechanical Failure,Heavy,19.3,51.1,39,425,242,183,Surplus,88.3,235,9
2024-02-12 06:23:27,2024-02-12,Feb 2024,2024-02,Q1,Monday,6,Truck_7,7,49.3929,-47.5805,Delivered,On Time,0,,Detour,26.3,52.1,48,369,220,149,Surplus,66.7,104,7
2024-04-24 06:17:22,2024-04-24,Apr 2024,2024-04,Q2,Wednesday,6,Truck_10,10,80.3158,70.765,Delayed,Delayed,1,Weather,Heavy,24.0,60.2,45,223,205,18,Surplus,78.4,292,6
2024-12-06 19:05:13,2024-12-06,Dec 2024,2024-12,Q4,Friday,19,Truck_2,2,-19.8847,42.5062,Delivered,On Time,0,,Detour,28.1,72.1,28,200,134,66,Surplus,74.3,129,9
2024-04-30 11:53:17,2024-04-30,Apr 2024,2024-04,Q2,Tuesday,11,Truck_9,9,5.4555,-147.5455,In Transit,On Time,0,Mechanical Failure,Detour,26.1,72.1,54,466,222,244,Surplus,83.4,475,9
2024-09-19 22:53:51,2024-09-19,Sep 2024,2024-09,Q3,Thursday,22,Truck_8,8,-19.2577,66.744,In Transit,Delayed,1,Mechanical Failure,Heavy,27.7,71.2,50,474,266,208,Surplus,91.6,311,3
2024-12-22 15:08:14,2024-12-22,Dec 2024,2024-12,Q4,Sunday,15,Truck_6,6,-79.0792,-16.3423,Delivered,Delayed,1,,Heavy,23.1,75.2,14,490,261,229,Surplus,87.8,460,7
2024-08-15 05:45:04,2024-08-15,Aug 2024,2024-08,Q3,Thursday,5,Truck_5,5,-1.6787,3.2441,Delivered,On Time,0,Weather,Detour,29.6,67.6,19,126,255,-129,Deficit,84.1,201,9
2024-03-16 11:17:42,2024-03-16,Mar 2024,2024-03,Q1,Saturday,11,Truck_7,7,-8.2431,-12.4959,In Transit,On Time,0,,Clear,18.2,76.4,45,164,196,-32,Deficit,98.1,466,7
2024-12-28 11:40:55,2024-12-28,Dec 2024,2024-12,Q4,Saturday,11,Truck_2,2,-30.0701,135.6396,Delayed,Delayed,1,Mechanical Failure,Clear,19.2,79.4,12,477,129,348,Surplus,63.7,310,5
2024-02-04 18:55:58,2024-02-04,Feb 2024,2024-02,Q1,Sunday,18,Truck_5,5,61.8444,107.4835,In Transit,On Time,0,Traffic,Detour,24.2,56.9,39,245,183,62,Surplus,66.4,379,2
2024-07-09 02:12:54,2024-07-09,Jul 2024,2024-07,Q3,Tuesday,2,Truck_5,5,40.784,77.2346,Delayed,Delayed,1,Weather,Clear,25.2,67.6,40,172,170,2,Surplus,66.3,274,7
2024-12-01 23:54:16,2024-12-01,Dec 2024,2024-12,Q4,Sunday,23,Truck_7,7,-68.3515,158.251,Delayed,Delayed,1,Mechanical Failure,Clear,20.7,77.5,15,206,209,-3,Deficit,63.9,308,2
2024-06-22 13:26:02,2024-06-22,Jun 2024,2024-06,Q2,Saturday,13,Truck_6,6,-33.8378,73.3221,In Transit,On Time,0,Traffic,Clear,18.7,54.7,52,310,113,197,Surplus,72.6,232,9
2024-07-27 15:50:46,2024-07-27,Jul 2024,2024-07,Q3,Saturday,15,Truck_2,2,69.6609,38.4464,Delivered,Delayed,1,Weather,Heavy,19.0,63.0,17,225,265,-40,Deficit,99.6,282,6
2024-09-05 14:12:00,2024-09-05,Sep 2024,2024-09,Q3,Thursday,14,Truck_3,3,20.8843,1.3947,Delayed,Delayed,1,,Clear,20.7,70.6,47,303,123,180,Surplus,98.1,143,10
2024-11-11 22:09:53,2024-11-11,Nov 2024,2024-11,Q4,Monday,22,Truck_1,1,-14.8081,-177.3003,Delayed,Delayed,1,,Heavy,20.7,78.3,35,237,189,48,Surplus,80.7,491,2
2024-05-01 22:26:11,2024-05-01,May 2024,2024-05,Q2,Wednesday,22,Truck_6,6,0.0414,-130.6505,Delivered,On Time,0,Mechanical Failure,Clear,18.2,79.9,46,172,154,18,Surplus,60.1,258,3
2024-07-26 20:19:01,2024-07-26,Jul 2024,2024-07,Q3,Friday,20,Truck_9,9,-79.9146,-3.8554,In Transit,Delayed,1,,Heavy,21.7,77.0,47,214,175,39,Surplus,97.4,187,10
2024-08-09 01:16:43,2024-08-09,Aug 2024,2024-08,Q3,Friday,1,Truck_3,3,76.4465,173.1493,Delayed,Delayed,1,Mechanical Failure,Heavy,24.0,52.9,14,330,289,41,Surplus,89.8,425,1
2024-01-29 21:04:08,2024-01-29,Jan 2024,2024-01,Q1,Monday,21,Truck_5,5,-15.6005,-92.1974,Delivered,Delayed,1,Traffic,Heavy,18.1,78.3,39,130,143,-13,Deficit,92.3,424,9
2024-03-23 12:47:34,2024-03-23,Mar 2024,2024-03,Q1,Saturday,12,Truck_2,2,67.396,170.1537,Delayed,Delayed,1,Weather,Clear,26.9,67.8,55,364,128,236,Surplus,95.2,467,7
2024-10-17 13:22:31,2024-10-17,Oct 2024,2024-10,Q4,Thursday,13,Truck_8,8,33.6179,-67.2758,Delayed,Delayed,1,,Heavy,26.4,68.4,16,430,137,293,Surplus,71.9,277,8
2024-07-11 07:07:27,2024-07-11,Jul 2024,2024-07,Q3,Thursday,7,Truck_8,8,-50.8174,-40.3409,In Transit,On Time,0,,Clear,18.6,67.7,12,187,140,47,Surplus,85.4,375,5
2024-12-11 16:57:48,2024-12-11,Dec 2024,2024-12,Q4,Wednesday,16,Truck_5,5,50.2709,125.6915,Delayed,Delayed,1,Weather,Detour,28.3,61.2,52,323,127,196,Surplus,72.4,139,4
2024-01-10 01:05:25,2024-01-10,Jan 2024,2024-01,Q1,Wednesday,1,Truck_9,9,-73.8211,3.187,Delivered,On Time,0,Traffic,Detour,26.6,78.2,19,386,290,96,Surplus,87.6,456,7
2024-06-17 07:59:24,2024-06-17,Jun 2024,2024-06,Q2,Monday,7,Truck_9,9,79.1172,178.4934,Delayed,Delayed,1,Weather,Heavy,19.6,53.3,40,422,242,180,Surplus,86.1,205,5
2024-06-25 01:52:28,2024-06-25,Jun 2024,2024-06,Q2,Tuesday,1,Truck_9,9,27.4253,90.1386,Delayed,Delayed,1,Weather,Clear,24.0,77.8,37,433,143,290,Surplus,89.6,173,9
2024-04-17 20:13:18,2024-04-17,Apr 2024,2024-04,Q2,Wednesday,20,Truck_9,9,67.9086,-140.0283,Delivered,On Time,0,,Clear,26.0,77.4,19,318,250,68,Surplus,70.2,314,2
2024-10-09 18:26:11,2024-10-09,Oct 2024,2024-10,Q4,Wednesday,18,Truck_9,9,-72.8958,129.8921,In Transit,Delayed,1,Mechanical Failure,Heavy,22.6,73.3,37,176,169,7,Surplus,91.4,154,4
2024-11-27 17:17:47,2024-11-27,Nov 2024,2024-11,Q4,Wednesday,17,Truck_4,4,-58.6802,-62.7474,Delayed,Delayed,1,Traffic,Heavy,23.4,57.6,23,125,241,-116,Deficit,72.0,191,2
2024-06-12 02:49:27,2024-06-12,Jun 2024,2024-06,Q2,Wednesday,2,Truck_6,6,64.0395,-151.7045,In Transit,On Time,0,Weather,Detour,27.4,58.9,49,336,236,100,Surplus,70.7,100,10
2024-11-02 21:19:46,2024-11-02,Nov 2024,2024-11,Q4,Saturday,21,Truck_7,7,-24.1402,-168.6013,Delivered,Delayed,1,,Heavy,21.3,73.8,39,244,197,47,Surplus,98.1,229,7
2024-02-29 15:12:54,2024-02-29,Feb 2024,2024-02,Q1,Thursday,15,Truck_4,4,72.8574,179.01,In Transit,On Time,0,,Detour,20.5,71.2,12,391,267,124,Surplus,78.3,112,7
2024-03-17 23:47:15,2024-03-17,Mar 2024,2024-03,Q1,Sunday,23,Truck_6,6,7.3575,86.6442,Delivered,On Time,0,Weather,Detour,24.2,54.6,32,425,260,165,Surplus,69.9,193,3
2024-11-25 10:39:09,2024-11-25,Nov 2024,2024-11,Q4,Monday,10,Truck_5,5,68.9594,-123.5048,In Transit,On Time,0,Traffic,Clear,26.9,60.6,50,403,182,221,Surplus,67.8,418,1
2024-07-04 18:22:32,2024-07-04,Jul 2024,2024-07,Q3,Thursday,18,Truck_4,4,14.9079,50.1606,Delayed,Delayed,1,Weather,Heavy,26.5,69.3,34,438,256,182,Surplus,88.7,378,5
2024-03-19 05:23:55,2024-03-19,Mar 2024,2024-03,Q1,Tuesday,5,Truck_1,1,66.2353,10.8345,In Transit,On Time,0,Traffic,Detour,26.8,64.5,24,339,212,127,Surplus,69.3,235,6
2024-03-20 01:25:23,2024-03-20,Mar 2024,2024-03,Q1,Wednesday,1,Truck_9,9,70.1899,-65.6792,In Transit,Delayed,1,Traffic,Heavy,18.0,68.9,19,203,254,-51,Deficit,74.4,370,3
2024-07-18 11:16:58,2024-07-18,Jul 2024,2024-07,Q3,Thursday,11,Truck_4,4,51.4539,-20.8253,Delivered,On Time,0,,Clear,23.6,65.2,49,313,122,191,Surplus,100.0,137,6
2024-08-10 08:40:26,2024-08-10,Aug 2024,2024-08,Q3,Saturday,8,Truck_2,2,-39.88,55.1792,Delivered,On Time,0,Weather,Detour,27.1,67.3,35,261,264,-3,Deficit,71.3,496,2
2024-02-20 08:11:14,2024-02-20,Feb 2024,2024-02,Q1,Tuesday,8,Truck_8,8,-17.2355,-130.6915,In Transit,On Time,0,Weather,Detour,28.5,51.0,12,179,225,-46,Deficit,92.8,354,3
2024-12-18 02:23:25,2024-12-18,Dec 2024,2024-12,Q4,Wednesday,2,Truck_6,6,-44.2576,-86.5073,In Transit,On Time,0,,Clear,18.3,50.3,56,442,192,250,Surplus,96.3,469,2
2024-08-20 16:18:37,2024-08-20,Aug 2024,2024-08,Q3,Tuesday,16,Truck_5,5,19.9257,116.0526,Delivered,Delayed,1,,Heavy,28.5,54.6,14,291,288,3,Surplus,77.5,316,7
2024-11-06 07:40:41,2024-11-06,Nov 2024,2024-11,Q4,Wednesday,7,Truck_5,5,-47.2094,15.6324,Delivered,On Time,0,Traffic,Clear,28.2,68.3,22,348,204,144,Surplus,67.4,415,4
2024-12-14 15:09:01,2024-12-14,Dec 2024,2024-12,Q4,Saturday,15,Truck_6,6,-58.4249,-57.6609,In Transit,On Time,0,Weather,Clear,23.7,51.9,51,454,172,282,Surplus,78.7,232,7
2024-01-15 12:01:25,2024-01-15,Jan 2024,2024-01,Q1,Monday,12,Truck_1,1,-20.0696,-73.2689,Delivered,On Time,0,,Clear,29.1,78.4,21,486,243,243,Surplus,62.6,158,7
2024-05-18 10:00:52,2024-05-18,May 2024,2024-05,Q2,Saturday,10,Truck_10,10,-36.8549,164.7618,In Transit,Delayed,1,Mechanical Failure,Heavy,29.2,65.0,57,483,245,238,Surplus,96.8,167,8
2024-11-17 02:02:28,2024-11-17,Nov 2024,2024-11,Q4,Sunday,2,Truck_4,4,-86.6609,-128.0354,Delivered,On Time,0,Weather,Clear,23.5,72.0,59,472,248,224,Surplus,67.2,485,3
2024-08-22 20:11:57,2024-08-22,Aug 2024,2024-08,Q3,Thursday,20,Truck_5,5,-53.3732,-99.637,In Transit,On Time,0,Traffic,Clear,18.9,70.5,38,186,252,-66,Deficit,95.6,344,1
2024-09-12 08:00:47,2024-09-12,Sep 2024,2024-09,Q3,Thursday,8,Truck_6,6,-58.7963,-150.4122,In Transit,On Time,0,Traffic,Clear,22.8,66.7,39,366,211,155,Surplus,91.0,219,7
2024-08-09 21:54:31,2024-08-09,Aug 2024,2024-08,Q3,Friday,21,Truck_5,5,-46.1616,-46.6401,Delivered,On Time,0,Traffic,Detour,23.0,71.7,50,359,169,190,Surplus,64.0,486,10
2024-04-19 02:50:29,2024-04-19,Apr 2024,2024-04,Q2,Friday,2,Truck_7,7,33.8716,36.8753,Delayed,Delayed,1,,Heavy,26.5,75.0,39,422,127,295,Surplus,67.2,100,6
2024-09-30 11:18:34,2024-09-30,Sep 2024,2024-09,Q3,Monday,11,Truck_6,6,35.7136,-23.1356,In Transit,On Time,0,Mechanical Failure,Clear,24.9,76.8,51,209,156,53,Surplus,86.5,214,2
2024-03-22 16:43:42,2024-03-22,Mar 2024,2024-03,Q1,Friday,16,Truck_5,5,36.3858,-107.3894,Delayed,Delayed,1,,Heavy,20.7,77.5,39,324,138,186,Surplus,69.1,387,1
2024-10-15 04:02:56,2024-10-15,Oct 2024,2024-10,Q4,Tuesday,4,Truck_7,7,26.6125,25.4788,In Transit,Delayed,1,,Heavy,27.4,57.1,28,199,105,94,Surplus,61.9,383,6
2024-12-18 19:01:30,2024-12-18,Dec 2024,2024-12,Q4,Wednesday,19,Truck_5,5,-84.8915,57.5714,Delayed,Delayed,1,Mechanical Failure,Clear,27.7,58.1,41,213,254,-41,Deficit,60.9,267,7
2024-06-09 17:12:12,2024-06-09,Jun 2024,2024-06,Q2,Sunday,17,Truck_4,4,-49.6846,-63.2892,Delayed,Delayed,1,Weather,Clear,23.1,59.1,56,257,248,9,Surplus,93.8,451,3
2024-10-30 02:01:46,2024-10-30,Oct 2024,2024-10,Q4,Wednesday,2,Truck_5,5,14.7474,-2.5245,In Transit,On Time,0,Weather,Detour,22.2,79.4,25,475,151,324,Surplus,60.3,268,3
2024-06-23 03:05:18,2024-06-23,Jun 2024,2024-06,Q2,Sunday,3,Truck_7,7,-8.6011,-63.1274,In Transit,On Time,0,,Clear,22.7,75.5,59,377,272,105,Surplus,99.1,445,7
2024-08-19 17:13:42,2024-08-19,Aug 2024,2024-08,Q3,Monday,17,Truck_2,2,67.2149,117.9203,Delayed,Delayed,1,Weather,Heavy,26.4,51.4,23,456,105,351,Surplus,94.2,100,1
2024-04-30 12:39:49,2024-04-30,Apr 2024,2024-04,Q2,Tuesday,12,Truck_1,1,-11.3392,-69.3395,Delayed,Delayed,1,Traffic,Heavy,18.3,65.9,53,106,125,-19,Deficit,99.5,244,2
2024-12-15 03:53:36,2024-12-15,Dec 2024,2024-12,Q4,Sunday,3,Truck_10,10,26.3763,157.0905,Delayed,Delayed,1,Weather,Clear,29.1,65.3,19,234,214,20,Surplus,92.7,432,3
2024-03-21 14:56:42,2024-03-21,Mar 2024,2024-03,Q1,Thursday,14,Truck_8,8,-13.469,75.3408,Delayed,Delayed,1,Mechanical Failure,Heavy,19.5,79.2,26,390,217,173,Surplus,69.4,366,4
2024-09-27 18:08:16,2024-09-27,Sep 2024,2024-09,Q3,Friday,18,Truck_4,4,-11.2424,-4.5638,Delivered,On Time,0,,Detour,20.4,78.3,21,203,262,-59,Deficit,87.9,187,5
2024-11-17 08:35:02,2024-11-17,Nov 2024,2024-11,Q4,Sunday,8,Truck_6,6,62.6559,18.8474,Delayed,Delayed,1,Traffic,Detour,23.1,59.4,29,297,151,146,Surplus,71.2,268,10
2024-05-03 03:34:28,2024-05-03,May 2024,2024-05,Q2,Friday,3,Truck_9,9,60.8032,-179.5906,In Transit,Delayed,1,Weather,Heavy,25.0,75.8,26,238,165,73,Surplus,99.2,330,9
2024-03-05 00:54:47,2024-03-05,Mar 2024,2024-03,Q1,Tuesday,0,Truck_4,4,-10.0451,79.8956,Delivered,On Time,0,Mechanical Failure,Detour,28.2,54.5,35,126,136,-10,Deficit,93.7,320,4
2024-01-14 09:22:40,2024-01-14,Jan 2024,2024-01,Q1,Sunday,9,Truck_2,2,17.6483,114.2638,Delivered,On Time,0,Weather,Detour,22.9,79.6,51,455,233,222,Surplus,84.9,410,9
2024-02-17 21:06:05,2024-02-17,Feb 2024,2024-02,Q1,Saturday,21,Truck_4,4,-51.9233,-57.5858,Delayed,Delayed,1,Mechanical Failure,Clear,29.4,52.4,18,220,137,83,Surplus,63.1,468,9
2024-07-06 11:17:28,2024-07-06,Jul 2024,2024-07,Q3,Saturday,11,Truck_5,5,22.3898,3.8948,In Transit,On Time,0,Weather,Clear,22.5,62.5,38,403,169,234,Surplus,81.4,225,3
2024-05-10 22:14:19,2024-05-10,May 2024,2024-05,Q2,Friday,22,Truck_10,10,86.3368,29.4478,Delayed,Delayed,1,Weather,Detour,23.4,59.9,41,448,150,298,Surplus,70.8,120,10
2024-12-23 18:56:11,2024-12-23,Dec 2024,2024-12,Q4,Monday,18,Truck_5,5,-14.6662,-88.3674,In Transit,Delayed,1,Mechanical Failure,Heavy,22.4,57.9,43,168,140,28,Surplus,71.1,377,4
2024-02-06 08:28:02,2024-02-06,Feb 2024,2024-02,Q1,Tuesday,8,Truck_7,7,-71.9057,-41.4314,Delivered,Delayed,1,,Heavy,18.0,53.5,47,409,117,292,Surplus,74.1,153,9
2024-09-16 10:08:52,2024-09-16,Sep 2024,2024-09,Q3,Monday,10,Truck_2,2,54.8888,7.4287,In Transit,On Time,0,Traffic,Clear,20.7,70.4,31,469,298,171,Surplus,86.1,335,7
2024-01-26 12:56:30,2024-01-26,Jan 2024,2024-01,Q1,Friday,12,Truck_5,5,-89.7915,85.8036,In Transit,On Time,0,Weather,Detour,20.5,71.2,44,305,141,164,Surplus,71.9,302,10
2024-11-29 06:34:32,2024-11-29,Nov 2024,2024-11,Q4,Friday,6,Truck_5,5,39.9088,71.9595,Delayed,Delayed,1,,Heavy,26.6,79.8,46,219,202,17,Surplus,70.5,245,1
2024-06-02 19:16:49,2024-06-02,Jun 2024,2024-06,Q2,Sunday,19,Truck_8,8,30.7119,111.5767,Delayed,Delayed,1,Traffic,Clear,23.8,71.6,55,167,263,-96,Deficit,60.7,416,8
2024-02-08 10:07:24,2024-02-08,Feb 2024,2024-02,Q1,Thursday,10,Truck_4,4,5.7076,-79.9256,Delayed,Delayed,1,,Detour,24.1,50.9,39,100,274,-174,Deficit,96.9,340,4
2024-08-17 07:05:15,2024-08-17,Aug 2024,2024-08,Q3,Saturday,7,Truck_9,9,69.0509,91.848,In Transit,On Time,0,Traffic,Clear,25.4,53.8,24,321,223,98,Surplus,84.6,340,5
2024-01-27 04:09:11,2024-01-27,Jan 2024,2024-01,Q1,Saturday,4,Truck_7,7,52.7828,176.0671,Delivered,On Time,0,Mechanical Failure,Clear,23.6,64.9,24,244,285,-41,Deficit,67.6,145,4
2024-12-13 00:55:11,2024-12-13,Dec 2024,2024-12,Q4,Friday,0,Truck_9,9,42.967,146.1358,Delivered,On Time,0,,Detour,18.4,74.6,41,281,242,39,Surplus,69.1,419,6
2024-10-26 21:55:21,2024-10-26,Oct 2024,2024-10,Q4,Saturday,21,Truck_7,7,-11.9943,-126.8743,Delivered,On Time,0,Mechanical Failure,Detour,18.3,60.0,42,301,273,28,Surplus,99.0,243,3
2024-03-19 05:42:50,2024-03-19,Mar 2024,2024-03,Q1,Tuesday,5,Truck_8,8,60.5903,-90.0415,In Transit,On Time,0,,Clear,25.5,73.2,59,437,228,209,Surplus,83.9,310,2
2024-10-23 14:15:25,2024-10-23,Oct 2024,2024-10,Q4,Wednesday,14,Truck_7,7,-23.2982,143.8634,In Transit,On Time,0,Weather,Clear,22.8,78.7,49,253,296,-43,Deficit,74.0,180,3
2024-01-18 08:34:25,2024-01-18,Jan 2024,2024-01,Q1,Thursday,8,Truck_2,2,-34.2189,-36.6288,Delivered,Delayed,1,Weather,Heavy,25.5,50.3,18,491,100,391,Surplus,97.1,111,1
2024-11-15 11:42:39,2024-11-15,Nov 2024,2024-11,Q4,Friday,11,Truck_3,3,19.545,73.0968,Delayed,Delayed,1,Weather,Detour,22.8,60.4,38,172,106,66,Surplus,83.3,187,9
2024-07-01 16:37:53,2024-07-01,Jul 2024,2024-07,Q3,Monday,16,Truck_7,7,33.3351,-103.926,Delayed,Delayed,1,Mechanical Failure,Detour,24.4,72.3,54,252,225,27,Surplus,86.8,156,6
2024-06-11 08:04:09,2024-06-11,Jun 2024,2024-06,Q2,Tuesday,8,Truck_4,4,-63.2064,30.0818,Delayed,Delayed,1,Mechanical Failure,Clear,21.8,52.1,19,118,284,-166,Deficit,99.1,421,8
2024-07-03 15:08:44,2024-07-03,Jul 2024,2024-07,Q3,Wednesday,15,Truck_4,4,83.2858,-66.1069,Delayed,Delayed,1,Weather,Detour,25.0,71.1,60,179,226,-47,Deficit,66.8,325,1
2024-02-05 00:41:30,2024-02-05,Feb 2024,2024-02,Q1,Monday,0,Truck_6,6,-23.2424,18.6206,Delivered,On Time,0,Weather,Clear,25.9,77.7,38,119,149,-30,Deficit,79.3,189,7
